Attempt,Algorithm,Length,Time,,,,,,,,,,
7,A*,7,0.00058,,,86,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
7,A*,8,0.0002,,,87,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
7,A*,9,0.00018,,,88,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
7,A*,10,1.00E-05,,,89,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
7,A*,11,0.00026,,,90,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
7,A*,12,9.00E-05,,,91,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
7,A*,13,0.00022,,,92,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
7,A*,14,0.00029,,,93,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
7,A*,15,0.00021,,,94,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
7,A*,16,2.00E-05,,,95,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
7,A*,17,0.00068,,,96,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
7,A*,18,1.00E-05,,,97,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
8,A*,3,0.00019,,,98,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
8,A*,4,0.00022,,,99,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
8,A*,5,0.00038,,,100,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
8,A*,6,8.00E-05,,,101,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
8,A*,7,0.00023,,,102,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
8,A*,8,0.00094,,,103,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
