Attempt,Algorithm,Length,Time
14,A*,43,0.00481
14,A*,44,0.00044
14,A*,45,0.00017
14,A*,46,0.00175
15,A*,3,0.00127
15,A*,4,0.00245
15,A*,5,0.00236
15,A*,6,0.00082
15,A*,7,0.00042
15,A*,8,0.00034
15,A*,9,0.00549
15,A*,10,0.00743
15,A*,11,0.00513
15,A*,12,0.00041
15,A*,13,0.01766
15,A*,14,0.00375
15,A*,15,0.00408
15,A*,16,0.00204
15,A*,17,0.00987
15,A*,18,0.01245
15,A*,19,5.00E-05
15,A*,20,0.00516
15,A*,21,0.0004
15,A*,22,0.00314
15,A*,23,0.0001
15,A*,24,0.00052
15,A*,25,0.00533
15,A*,26,0.00014
15,A*,27,0.00072
15,A*,28,0.01808
15,A*,29,0.0084
15,A*,30,0.00159
15,A*,31,0.00361
15,A*,32,0.00245
15,A*,33,0.00623
15,A*,34,0.00342
15,A*,35,0.00401
15,A*,36,0.00135
15,A*,37,0.00224
15,A*,38,0.00045
15,A*,39,0.00042
15,A*,40,0.00132
15,A*,41,0.01705
15,A*,42,0.0005
15,A*,43,0.00594
15,A*,44,0.00507
15,A*,45,0.0072
15,A*,46,0.00042
15,A*,47,0.00201
15,A*,48,0.00023
15,A*,49,0.00086
15,A*,50,0.01053
15,A*,51,0.00248
15,A*,52,0.00223
15,A*,53,0.01426
15,A*,54,0.00049
15,A*,55,0.00458
15,A*,56,0.00646
15,A*,57,0.0024
15,A*,58,0.00225
15,A*,59,0.01595
15,A*,60,0.00111
15,A*,61,0.00027
15,A*,62,0.00066
15,A*,63,0.0022
15,A*,64,0.01285
15,A*,65,0.00076
15,A*,66,0.00084
15,A*,67,0.00451
15,A*,68,0.00641
15,A*,69,0.00187
15,A*,70,0.00018
15,A*,71,0.01832
15,A*,72,0.00441
15,A*,73,0.00264
15,A*,74,0.0034
16,A*,3,0.00059
16,A*,4,0.00012
16,A*,5,0.00429
16,A*,6,0.00089
16,A*,7,0.00331
16,A*,8,0.00155
16,A*,9,0.00908
16,A*,10,0.00109
16,A*,11,0.00209
16,A*,12,0.00064
16,A*,13,0.00086
16,A*,14,0.00033
16,A*,15,0.0013
16,A*,16,0.0033
16,A*,17,0.00043
16,A*,18,0.00054
16,A*,19,0.00547
16,A*,20,0.00028
16,A*,21,0.00294
16,A*,22,0.00125
16,A*,23,0.00025
16,A*,24,0.00095
16,A*,25,0.00063
16,A*,26,0.0028
16,A*,27,0.00074
16,A*,28,0.00035
16,A*,29,0.00123
16,A*,30,0.00155
16,A*,31,0.00693
16,A*,32,0.00024
16,A*,33,0.01427
16,A*,34,0.00433
16,A*,35,0.01235
16,A*,36,0.01937
16,A*,37,0.00095
16,A*,38,0.00126
16,A*,39,0.00132
17,A*,3,0.00026
17,A*,4,0.01206
17,A*,5,0.00236
17,A*,6,0.00037
17,A*,7,0.00273
17,A*,8,0.00133
17,A*,9,0.00543
17,A*,10,0.00083
17,A*,11,0.00143
17,A*,12,0.00043
17,A*,13,0.00963
17,A*,14,0.00203
17,A*,15,0.00275
17,A*,16,0.00673
17,A*,17,0.00079
17,A*,18,0.01075
17,A*,19,0.00135
17,A*,20,0.01009
17,A*,21,0.01176
17,A*,22,0.0002
17,A*,23,0.0009
17,A*,24,0.00063
17,A*,25,0.00052
17,A*,26,0.0008
17,A*,27,0.00149
17,A*,28,0.00041
17,A*,29,0.00593
17,A*,30,0.00491
17,A*,31,0.00011
17,A*,32,0.00177
17,A*,33,0.00082
17,A*,34,0.00039
17,A*,35,0.01467
17,A*,36,0.01347
17,A*,37,0.0004
17,A*,38,0.00059
17,A*,39,0.00472
17,A*,40,0.00568
17,A*,41,0.00059
17,A*,42,0.00032
17,A*,43,0.00302
17,A*,44,0.00094
17,A*,45,0.0049
17,A*,46,0.00137
17,A*,47,0.00014
17,A*,48,0.00024
17,A*,49,0.00311
17,A*,50,0.00402
17,A*,51,0.00123
17,A*,52,0.00251
17,A*,53,0.00082
17,A*,54,0.0087
17,A*,55,0.00092
17,A*,56,0.00064
17,A*,57,5.00E-05
17,A*,58,0.01669
17,A*,59,0.00424
17,A*,60,0.00152
17,A*,61,0.0019
17,A*,62,0.00357
17,A*,63,0.00069
17,A*,64,0.00132
17,A*,65,0.00081
17,A*,66,0.00013
17,A*,67,0.00852
17,A*,68,0.00282
17,A*,69,0.00207
17,A*,70,0.00218
17,A*,71,0.00222
17,A*,72,0.00173
17,A*,73,0.0007
17,A*,74,0.00023
17,A*,75,0.0062
17,A*,76,0.00092
17,A*,77,0.00725
17,A*,78,0.00264
17,A*,79,0.00134
17,A*,80,0.02493
17,A*,81,0.00569
18,A*,3,0.00127
18,A*,4,0.00332
18,A*,5,0.00113
18,A*,6,0.00024
18,A*,7,0.00082
18,A*,8,0.00741
18,A*,9,0.01483
18,A*,10,0.00157
18,A*,11,0.0085
18,A*,12,0.00304
18,A*,13,0.0032
18,A*,14,0.00129
18,A*,15,0.01388
18,A*,16,0.03344
18,A*,17,0.00845
18,A*,18,0.00069
18,A*,19,0.004
18,A*,20,0.00286
18,A*,21,0.00659
18,A*,22,0.00181
18,A*,23,0.00056
18,A*,24,0.00241
18,A*,25,0.00356
18,A*,26,0.00128
18,A*,27,0.00152
18,A*,28,0.00285
18,A*,29,0.00454
18,A*,30,0.00351
18,A*,31,0.00386
18,A*,32,0.00558
18,A*,33,0.0005
18,A*,34,0.00289
18,A*,35,0.0009
18,A*,36,0.00444
18,A*,37,0.00434
18,A*,38,0.00028
18,A*,39,0.00209
18,A*,40,0.00075
18,A*,41,0.0102
18,A*,42,0.0172
18,A*,43,0.00016
18,A*,44,0.00013
18,A*,45,0.00545
18,A*,46,0.00122
18,A*,47,0.01098
18,A*,48,0.00017
18,A*,49,0.00047
18,A*,50,0.00098
18,A*,51,0.00117
18,A*,52,0.01279
18,A*,53,0.00227
18,A*,54,0.00326
18,A*,55,0.00029
18,A*,56,0.00104
18,A*,57,0.00055
18,A*,58,0.00774
18,A*,59,0.00171
18,A*,60,0.00186
19,A*,3,0.00074
19,A*,4,0.00187
19,A*,5,0.00636
19,A*,6,0.00283
19,A*,7,0.00112
19,A*,8,0.00272
19,A*,9,0.00155
19,A*,10,0.00029
19,A*,11,0.00174
19,A*,12,0.00048
19,A*,13,0.00223
19,A*,14,0.00182
19,A*,15,0.02561
19,A*,16,0.01309
19,A*,17,0.00415
19,A*,18,0.0002
19,A*,19,0.00023
19,A*,20,0.00092
19,A*,21,0.00064
19,A*,22,0.00758
19,A*,23,0.00189
19,A*,24,0.00182
19,A*,25,0.00194
19,A*,26,0.00054
19,A*,27,0.0003
19,A*,28,0.00047
19,A*,29,0.00217
19,A*,30,3.00E-05
19,A*,31,0.00797
19,A*,32,0.00785
19,A*,33,0.00059
